"coachID","year","tmID","lgID","won","lost"
"hannual01","1957","STL","NBA","41","31"
"kundljo01","1957","MNL","NBA","10","23"
"mikange01","1957","MNL","NBA","9","30"
"rochare01","1957","DET","NBA","24","23"
"senesge01","1957","PHW","NBA","37","35"
"seymopa01","1957","SYR","NBA","41","31"
"wanzebo01","1957","CIN","NBA","33","39"
"auerbre01","1958","BOS","NBA","52","20"
"cervial01","1958","PHW","NBA","32","40"
"kundljo01","1958","MNL","NBA","33","39"
"levanan01","1958","NYK","NBA","40","32"
"macaued01","1958","STL","NBA","43","19"
"marshto01","1958","CIN","NBA","16","38"
"phillan01","1958","STL","NBA","6","4"
"rochare01","1958","DET","NBA","28","44"
"seymopa01","1958","SYR","NBA","35","37"
"wanzebo01","1958","CIN","NBA","3","15"
"auerbre01","1959","BOS","NBA","59","16"
"braunca01","1959","NYK","NBA","19","29"
"castejo01","1959","MNL","NBA","11","25"
"johnsne01","1959","PHW","NBA","49","26"
"levanan01","1959","NYK","NBA","8","19"
"macaued01","1959","STL","NBA","46","29"
"marshto01","1959","CIN","NBA","19","56"
"mcguidi01","1959","DET","NBA","17","24"
"pollaji01","1959","MNL","NBA","14","25"
"rochare01","1959","DET","NBA","13","21"
"seymopa01","1959","SYR","NBA","45","30"
"auerbre01","1960","BOS","NBA","57","22"
"braunca01","1960","NYK","NBA","21","58"
"hannual01","1960","SYR","NBA","38","41"
"johnsne01","1960","PHW","NBA","46","33"
"mcguidi01","1960","DET","NBA","34","45"
"schaufr01","1960","LAL","NBA","36","43"
"seymopa01","1960","STL","NBA","51","28"
"wolfch01","1960","CIN","NBA","33","46"
"auerbre01","1961","BOS","NBA","60","20"
"dovoved01","1961","NYK","NBA","29","51"
"hannual01","1961","SYR","NBA","41","39"
"levanan01","1961","STL","NBA","20","40"
"mcguidi01","1961","DET","NBA","37","43"
"mcguifr01","1961","PHW","NBA","49","31"
"pettibo01","1961","STL","NBA","4","2"
"pollaji01","1961","CHP","NBA","18","62"
"schaufr01","1961","LAL","NBA","54","26"
"seymopa01","1961","STL","NBA","5","9"
"wolfch01","1961","CIN","NBA","43","37"
"auerbre01","1962","BOS","NBA","58","22"
"dovoved01","1962","NYK","NBA","21","59"
"feeribo01","1962","SFW","NBA","31","49"
"gallaha01","1962","STL","NBA","48","32"
"hannual01","1962","SYR","NBA","48","32"
"leonasl01","1962","CHZ","NBA","13","29"
"mcguidi01","1962","DET","NBA","34","46"
"mcmahja01","1962","CHZ","NBA","12","26"
"schaufr01","1962","LAL","NBA","53","27"
"wolfch01","1962","CIN","NBA","42","38"
"auerbre01","1963","BOS","NBA","59","21"
"dovoved01","1963","NYK","NBA","22","58"
"gallaha01","1963","STL","NBA","46","34"
"hannual01","1963","SFW","NBA","48","32"
"leonasl01","1963","BAL","NBA","31","49"
"mcmahja01","1963","CIN","NBA","55","25"
"schaufr01","1963","LAL","NBA","42","38"
"schaydo01","1963","PHI","NBA","34","46"
"wolfch01","1963","DET","NBA","23","57"
"auerbre01","1964","BOS","NBA","62","18"
"debusda01","1964","DET","NBA","29","40"
"dovoved01","1964","NYK","NBA","12","26"
"gallaha01","1964","NYK","NBA","19","23"
"gallaha01","1964","STL","NBA","17","16"
"gueriri01","1964","STL","NBA","28","19"
"hannual01","1964","SFW","NBA","17","63"
"jeannbu01","1964","BAL","NBA","37","43"
"mcmahja01","1964","CIN","NBA","48","32"
"schaufr01","1964","LAL","NBA","49","31"
"schaydo01","1964","PHI","NBA","40","40"
"wolfch01","1964","DET","NBA","2","9"
"auerbre01","1965","BOS","NBA","54","26"
"debusda01","1965","DET","NBA","22","58"
"gallaha01","1965","NYK","NBA","6","15"
"gueriri01","1965","STL","NBA","36","44"
"hannual01","1965","SFW","NBA","35","45"
"mcguidi01","1965","NYK","NBA","24","35"
"mcmahja01","1965","CIN","NBA","45","35"
"schaufr01","1965","LAL","NBA","45","35"
"schaydo01","1965","PHI","NBA","55","25"
"seymopa01","1965","BAL","NBA","38","42"
"butchdo01","1966","DET","NBA","2","6"
"debusda01","1966","DET","NBA","28","45"
"farmemi01","1966","BAL","NBA","1","8"
"gueriri01","1966","STL","NBA","39","42"
"hannual01","1966","PHI","NBA","68","13"
"jeannbu01","1966","BAL","NBA","3","13"
"kerrjo01","1966","CHI","NBA","33","48"
"mcguidi01","1966","NYK","NBA","36","45"
"mcmahja01","1966","CIN","NBA","39","42"
"russebi01","1966","BOS","NBA","60","21"
"schaufr01","1966","LAL","NBA","36","45"
"sharmbi01","1966","SFW","NBA","44","37"
"shuege01","1966","BAL","NBA","16","40"
"bassbo01","1967","DNR","ABA","45","33"
"biancal01","1967","SEA","NBA","23","59"
"brighal01","1967","ANA","ABA","12","24"
"butchdo01","1967","DET","NBA","40","42"
"cazzevi01","1967","PTP","ABA","54","24"
"dinneha01","1967","ANA","ABA","13","29"
"givenjo01","1967","KEN","ABA","5","12"
"gueriri01","1967","STL","NBA","56","26"
