"tmID","year","rank","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"PHW","1956","3","26","5","5","26","6","4","37","35","72"
"ROC","1956","4","19","12","9","22","3","7","31","41","72"
"STL","1956","1","18","13","11","20","5","5","34","38","72"
"SYR","1956","2","22","9","12","19","4","6","38","34","72"
"BOS","1957","1","25","4","17","13","7","6","49","23","72"
"CIN","1957","2","17","12","10","19","6","8","33","39","72"
"DET","1957","2","14","14","13","18","6","7","33","39","72"
"MNL","1957","4","13","17","4","22","2","14","19","53","72"
"NYK","1957","4","16","13","11","19","8","5","35","37","72"
"PHW","1957","3","16","12","12","19","9","4","37","35","72"
"STL","1957","1","23","8","9","19","9","4","41","31","72"
"SYR","1957","2","26","5","9","21","6","5","41","31","72"
"BOS","1958","1","26","4","13","15","13","1","52","20","72"
"CIN","1958","4","9","19","2","25","8","9","19","53","72"
"DET","1958","3","13","17","8","20","7","7","28","44","72"
"MNL","1958","2","15","7","9","17","9","15","33","39","72"
"NYK","1958","2","21","9","15","15","4","8","40","32","72"
"PHW","1958","4","17","9","7","24","8","7","32","40","72"
"STL","1958","1","28","3","14","15","7","5","49","23","72"
"SYR","1958","3","19","12","12","17","4","8","35","37","72"
"BOS","1959","1","25","2","23","9","11","5","59","16","75"
"CIN","1959","4","9","22","2","20","8","14","19","56","75"
"DET","1959","2","17","14","6","21","7","10","30","45","75"
"MNL","1959","3","9","13","9","22","7","15","25","50","75"
"NYK","1959","4","13","18","9","19","5","11","27","48","75"
"PHW","1959","2","22","6","12","19","15","1","49","26","75"
"STL","1959","1","28","5","12","20","6","4","46","29","75"
"SYR","1959","3","26","4","11","19","8","7","45","30","75"
"BOS","1960","1","21","7","24","11","12","4","57","22","79"
"CIN","1960","4","18","13","8","19","7","14","33","46","79"
"DET","1960","3","20","11","3","19","11","15","34","45","79"
"LAL","1960","2","16","12","8","20","12","11","36","43","79"
"NYK","1960","4","10","22","7","25","4","11","21","58","79"
"PHW","1960","2","23","6","12","21","11","6","46","33","79"
"STL","1960","1","29","5","15","20","7","3","51","28","79"
"SYR","1960","3","19","9","8","21","11","11","38","41","79"
"BOS","1961","1","23","5","26","12","11","3","60","20","80"
"CHP","1961","5","9","19","3","20","6","23","18","62","80"
"CIN","1961","2","18","13","14","16","11","8","43","37","80"
"DET","1961","3","16","14","8","17","13","12","37","43","80"
"LAL","1961","1","26","5","18","13","10","8","54","26","80"
"NYK","1961","4","19","14","2","23","8","14","29","51","80"
"PHW","1961","2","18","11","18","19","13","1","49","31","80"
"STL","1961","4","19","16","7","27","3","8","29","51","80"
"SYR","1961","3","18","10","11","19","12","10","41","39","80"
"BOS","1962","1","25","5","21","16","12","1","58","22","80"
"CHZ","1962","5","17","17","3","23","5","15","25","55","80"
"CIN","1962","3","23","10","15","19","4","9","42","38","80"
"DET","1962","3","14","16","8","19","12","11","34","46","80"
"LAL","1962","1","27","7","20","17","6","3","53","27","80"
"NYK","1962","4","12","22","5","28","4","9","21","59","80"
"SFW","1962","4","13","20","11","25","7","4","31","49","80"
"STL","1962","2","30","7","13","18","5","7","48","32","80"
"SYR","1962","2","23","5","13","19","12","8","48","32","80"
"BAL","1963","4","20","19","8","21","3","9","31","49","80"
"BOS","1963","1","26","4","21","17","12","0","59","21","80"
"CIN","1963","2","26","7","18","18","11","0","55","25","80"
"DET","1963","5","9","21","6","25","8","11","23","57","80"
"LAL","1963","3","24","12","15","21","3","5","42","38","80"
"NYK","1963","4","10","25","8","27","4","6","22","58","80"
"PHI","1963","3","18","12","12","22","4","12","34","46","80"
"SFW","1963","1","25","14","21","15","2","3","48","32","80"
"STL","1963","2","27","12","17","19","2","3","46","34","80"
"BAL","1964","3","23","14","12","19","2","10","37","43","80"
"BOS","1964","1","27","3","27","11","8","4","62","18","80"
"CIN","1964","2","25","7","17","21","6","4","48","32","80"
"DET","1964","4","13","17","11","20","7","12","31","49","80"
"LAL","1964","1","25","13","21","16","3","2","49","31","80"
"NYK","1964","4","16","19","8","22","7","8","31","49","80"
"PHI","1964","3","13","12","9","21","18","7","40","40","80"
"SFW","1964","5","10","26","5","31","2","6","17","63","80"
"STL","1964","2","26","14","15","17","4","4","45","35","80"
"BAL","1965","2","29","9","4","25","5","8","38","42","80"
"BOS","1965","2","26","5","19","18","9","3","54","26","80"
"CIN","1965","3","25","6","11","23","9","6","45","35","80"
"DET","1965","5","13","17","4","22","5","19","22","58","80"
"LAL","1965","1","28","11","13","21","4","3","45","35","80"
"NYK","1965","4","20","14","4","30","6","6","30","50","80"
"PHI","1965","1","22","3","20","17","13","5","55","25","80"
"SFW","1965","4","12","14","8","19","15","12","35","45","80"
"STL","1965","3","22","10","6","22","8","12","36","44","80"
"BAL","1966","5","12","20","3","30","5","11","20","61","81"
"BOS","1966","2","27","4","25","11","8","6","60","21","81"
"CHI","1966","4","17","19","9","17","7","12","33","48","81"
"CIN","1966","3","20","11","12","24","7","7","39","42","81"
"DET","1966","5","12","18","9","19","9","14","30","51","81"
"LAL","1966","3","21","18","12","20","3","7","36","45","81"
"NYK","1966","4","20","15","9","24","7","6","36","45","81"
"PHI","1966","1","28","2","26","8","14","3","68","13","81"
"SFW","1966","1","18","10","11","19","15","8","44","37","81"
"STL","1966","2","18","11","12","21","9","10","39","42","81"
"ANA","1967","5","12","19","7","27","6","7","25","53","78"
"DLC","1967","2","29","10","17","20","0","2","46","32","78"
"DNR","1967","3","31","8","13","22","1","3","45","33","78"
"HSM","1967","4","23","16","6","32","0","1","29","49","78"
"INA","1967","3","24","8","10","26","4","6","38","40","78"
"KEN","1967","4","25","14","10","26","1","2","36","42","78"
"MNM","1967","2","32","7","15","21","3","0","50","28","78"
"NJA","1967","4","26","13","9","26","1","3","36","42","78"
"NOB","1967","1","23","6","14","20","11","4","48","30","78"
"OAK","1967","6","12","18","4","32","6","6","22","56","78"
"PTP","1967","1","31","6","20","16","3","2","54","24","78"
"BAL","1967","6","17","19","12","23","7","4","36","46","82"
"BOS","1967","2","28","9","20","16","6","3","54","28","82"
"CHI","1967","4","11","22","12","23","6","8","29","53","82"
"CIN","1967","5","18","12","13","23","8","8","39","43","82"
"DET","1967","4","21","11","12","23","7","8","40","42","82"
"LAL","1967","2","30","11","18","19","4","0","52","30","82"
"NYK","1967","3","20","17","21","16","2","6","43","39","82"
"PHI","1967","1","27","8","25","12","10","0","62","20","82"
"SDR","1967","6","8","33","4","26","3","8","15","67","82"
"SEA","1967","5","9","19","7","24","7","16","23","59","82"
"SFW","1967","3","27","14","16","23","0","2","43","39","82"
"STL","1967","1","25","7","22","13","9","6","56","26","82"
"DLC","1968","4","24","13","14","21","3","3","41","37","78"
"DNR","1968","3","32","7","9","26","3","1","44","34","78"
"HSM","1968","6","15","23","7","28","1","4","23","55","78"
"INA","1968","1","29","10","15","22","0","2","44","34","78"
"KEN","1968","3","27","13","14","21","1","2","42","36","78"
"LAS","1968","5","22","17","10","25","1","3","33","45","78"
"MMF","1968","2","19","10","16","21","8","4","43","35","78"
"MNP","1968","4","15","12","13","25","8","5","36","42","78"
"NOB","1968","2","23","8","17","20","6","4","46","32","78"
"NYA","1968","5","12","27","5","29","0","5","17","61","78"
"OAK","1968","1","30","8","28","10","2","0","60","18","78"
"ATL","1968","2","28","12","18","21","2","1","48","34","82"
"BAL","1968","1","29","9","24","15","4","1","57","25","82"
"BOS","1968","4","24","12","21","19","3","3","48","34","82"
"CHI","1968","5","19","21","12","25","2","3","33","49","82"
"CIN","1968","5","15","13","16","21","10","7","41","41","82"
"DET","1968","6","21","17","7","30","4","3","32","50","82"
"LAL","1968","1","32","9","21","18","2","0","55","27","82"
"MIL","1968","7","15","19","8","27","4","9","27","55","82"
"NYK","1968","3","30","7","19","20","5","1","54","28","82"
"PHI","1968","2","26","8","24","16","5","3","55","27","82"
"PHO","1968","7","11","26","4","28","1","12","16","66","82"
"SDR","1968","4","25","16","8","25","4","4","37","45","82"
"SEA","1968","6","18","18","6","29","6","5","30","52","82"
"SFW","1968","3","22","19","18","21","1","1","41","41","82"
"CAR","1969","3","28","14","14","27","0","1","42","42","84"
"DLC","1969","2","23","14","14","22","8","3","45","39","84"
"DNR","1969","1","36","5","11","25","4","3","51","33","84"
"INA","1969","1","28","9","26","14","5","2","59","25","84"
"KEN","1969","2","27","14","14","23","4","2","45","39","84"
"LAS","1969","4","21","15","14","24","8","2","43","41","84"
"MMF","1969","6","18","20","4","33","1","8","23","61","84"
"NOB","1969","5","28","11","11","26","3","5","42","42","84"
"NYA","1969","4","23","19","13","25","3","1","39","45","84"
"PTP","1969","5","21","17","8","32","0","6","29","55","84"
"WSA","1969","3","20","10","19","22","5","8","44","40","84"
"ATL","1969","1","25","13","18","16","5","5","48","34","82"
"BAL","1969","3","25","12","19","18","6","2","50","32","82"
"BOS","1969","6","16","21","13","27","5","0","34","48","82"
"CHI","1969","3","23","10","9","25","7","8","39","43","82"
"CIN","1969","5","19","13","14","25","3","8","36","46","82"
"DET","1969","7","18","20","10","25","3","6","31","51","82"
"LAL","1969","2","27","14","17","21","2","1","46","36","82"
"MIL","1969","2","27","11","24","14","5","1","56","26","82"
"NYK","1969","1","30","11","27","10","3","1","60","22","82"
"PHI","1969","4","22","16","16","22","4","2","42","40","82"
"PHO","1969","3","22","15","12","25","5","3","39","43","82"
"SDR","1969","7","21","17","4","33","2","5","27","55","82"
"SEA","1969","5","22","14","10","26","4","6","36","46","82"
"SFW","1969","6","16","20","14","26","0","6","30","52","82"
"CAR","1970","6","20","22","14","26","0","2","34","50","84"
"DNR","1970","4","19","21","10","31","1","2","30","54","84"
"FLO","1970","4","22","17","11","27","4","3","37","47","84"
"INA","1970","1","29","10","25","15","4","1","58","26","84"
"KEN","1970","2","26","15","18","23","0","2","44","40","84"
"MMP","1970","3","18","14","16","25","7","4","41","43","84"
"NYA","1970","3","25","17","14","26","1","1","40","44","84"
"PTC","1970","5","24","16","11","28","1","4","36","48","84"
"TEX","1970","4","18","24","11","26","1","4","30","54","84"
"UTS","1970","2","33","7","20","19","4","1","57","27","84"
"VIR","1970","1","32","9","22","20","1","0","55","29","84"
"ATL","1970","2","21","20","14","26","1","0","36","46","82"
"BAL","1970","1","24","13","16","25","2","2","42","40","82"
"BOS","1970","3","25","14","18","22","1","2","44","38","82"
"BUF","1970","4","14","23","6","30","2","7","22","60","82"
