,"""lgID"", ""tmID"", ""name"""
191,"""NPBL"",""EVA"",""Evansville Agogans"""
192,"""NPBL"",""GRH"",""Grand Rapids Hornets"""
193,"""NPBL"",""KCH"",""Kansas City Hi-Spots"""
194,"""NPBL"",""LOA"",""Louisville Alumnites"""
195,"""NPBL"",""SHE"",""Sheboygan Redskins"""
196,"""NPBL"",""SPL"",""St. Paul Lights"""
197,"""NPBL"",""WAT"",""Waterloo Hawks"""
198,"""NBL"",""AND"",""Anderson Duffey Packers"""
199,"""NBL"",""DAY"",""Dayton Rens"""
200,"""NBL"",""DNN"",""Denver Nuggets"""
201,"""NBL"",""DTK"",""Detroit Vagabond Kings"""
202,"""NBL"",""HCB"",""Hammond Calumet Buccaneers"""
203,"""NBL"",""OSH"",""Oshkosh All-Stars"""
204,"""NBL"",""SHE"",""Sheboygan Redskins"""
205,"""NBL"",""SYR"",""Syracuse Nationals"""
206,"""NBL"",""TRI"",""Tri-Cities Blackhawks"""
207,"""NBL"",""WAT"",""Waterloo Hawks"""
208,"""NBL"",""FNT"",""Flint/Midland Dow A.C.'s"""
209,"""NBL"",""FTW"",""Fort Wayne Zollner Pistons"""
210,"""NBL"",""INK"",""Indianapolis Kautskys"""
211,"""NBL"",""MNL"",""Minneapolis Lakers"""
212,"""NBL"",""ROC"",""Rochester Royals"""
213,"""NBL"",""TOL"",""Toledo Jeeps"""
214,"""PBLA"",""ATC"",""Atlanta Crackers"""
215,"""PBLA"",""BIR"",""Birmingham Skyhawks"""
216,"""PBLA"",""CHG"",""Chicago Gears"""
217,"""PBLA"",""CHT"",""Chattanooga Majors"""
218,"""PBLA"",""GRR"",""Grand Rapids Rangers"""
219,"""PBLA"",""HMV"",""Houston Mavericks"""
220,"""PBLA"",""KCB"",""Kansas City Blues"""
221,"""PBLA"",""LOU"",""Louisville Colonels"""
222,"""PBLA"",""NOL"",""New Orleans Hurricanes"""
223,"""PBLA"",""OKD"",""Oklahoma City Drillers"""
224,"""PBLA"",""OMA"",""Omaha Tomahawks"""
225,"""PBLA"",""SPR"",""Springfield Squires"""
226,"""PBLA"",""STJ"",""St. Joseph Outlaws"""
227,"""PBLA"",""STP"",""St. Paul Saints"""
228,"""PBLA"",""TUL"",""Tulsa Ranchers"""
229,"""PBLA"",""WAT"",""Waterloo Hawks"""
230,"""NBL"",""CHG"",""Chicago American Gears"""
231,"""NBL"",""DTG"",""Detroit Gems"""
232,"""NBL"",""YOU"",""Youngstown Bears"""
233,"""NBL"",""CAT"",""Cleveland Allmen Transfers"""
234,"""NBL"",""PTR"",""Pittsburgh Raiders"""
235,"""NBL"",""CCB"",""Cleveland Chase Brassmen"""
236,"""NBL"",""CHF"",""Chicago Studebaker Flyers"""
237,"""NBL"",""TCH"",""Toledo Jim White Chevrolets"""
238,"""NBL"",""AGW"",""Akron Goodyear Wingfoots"""
239,"""NBL"",""CHB"",""Chicago Bruins"""
240,"""NBL"",""AFS"",""Akron Firestone Non-Skids"""
241,"""NBL"",""DTE"",""Detroit Eagles"""
242,"""NBL"",""HAM"",""Hammond Ciesar All-Americans"""
243,"""NBL"",""CWH"",""Warren Penns/Cleveland White Horses"""
244,"""NBL"",""PGP"",""Pittsburgh Pirates"""
245,"""NBL"",""BFB"",""Buffalo Bisons"""
246,"""NBL"",""CNC"",""Richmond King Clothiers/Cincinnati Comellos"""
247,"""NBL"",""COL"",""Columbus Athletic Supply"""
248,"""NBL"",""DYM"",""Dayton Metropolitans"""
249,"""NBL"",""FWE"",""Fort Wayne General Electrics"""
250,"""NBL"",""KNK"",""Kankakee Gallagher Trojans"""
251,"""NBL"",""WAR"",""Warren Penns"""
252,"""NBL"",""WHT"",""Whiting Ciesar All-Americans"""
