"lgID", "tmID", "name", "arena"
"NBA","NOJ","New Orleans Jazz","Louisiana Superdome"
"NBA","DEN","Denver Nuggets","McNichols Sports Arena"
"NBA","IND","Indiana Pacers","Market Square Arena"
"NBA","NYN","New York Nets","Nassau Veterans Memorial Coliseum"
"NBA","SAS","San Antonio Spurs","HemisFair Arena"
"NBA","NJN","New Jersey Nets","Rutgers Athletic Center"
"NBA","DET","Detroit Pistons","Pontiac Silverdome"
"NBA","SDC","San Diego Clippers","San Diego Sports Arena"
"NBA","SEA","Seattle Supersonics","King County Domed Stadium"
"NBA","UTA","Utah Jazz","Salt Palace"
"NBA","DAL","Dallas Mavericks","Reunion Arena"
"NBA","NJN","New Jersey Nets","Brendan Byrne Arena"
"NBA","LAC","Los Angeles Clippers","Los Angeles Memorial Sports Arena"
"NBA","SAC","Sacramento Kings","ARCO Arena (I)"
"NBA","CHH","Charlotte Hornets","Charlotte Coliseum"
"NBA","DET","Detroit Pistons","The Palace of Auburn Hills"
"NBA","LAL","Los Angeles Lakers","Great Western Forum"
"NBA","MIA","Miami Heat","Miami Arena"
"NBA","MIL","Milwaukee Bucks","Bradley Center"
"NBA","SAC","Sacramento Kings","ARCO Arena (II)"
"NBA","MIN","Minnesota Timberwolves","Hubert H. Humphrey Metrodome"
"NBA","ORL","Orlando Magic","Orlando Arena"
"NBA","MIN","Minnesota Timberwolves","Target Center"
"NBA","UTA","Utah Jazz","Delta Center"
"NBA","PHO","Phoenix Suns","America West Arena"
"NBA","SAS","San Antonio Spurs","Alamodome"
"NBA","WSB","Washington Bullets","US Airways Arena"
"NBA","CHI","Chicago Bulls","United Center"
"NBA","CLE","Cleveland Cavaliers","Gund Arena"
"NBA","PHI","Philadelphia 76ers","CoreStates Spectrum"
"NBA","SEA","Seattle Supersonics","Tacoma Dome"
"NBA","BOS","Boston Celtics","FleetCenter"
"NBA","POR","Portland Trail Blazers","Rose Garden Arena"
"NBA","SEA","Seattle Supersonics","KeyArena at Seattle Center"
"NBA","TOR","Toronto Raptors","SkyDome"
"NBA","VAN","Vancouver Grizzlies","General Motors Place"
"NBA","GSW","Golden State Warriors","San Jose Arena"
"NBA","NJN","New Jersey Nets","Continental Airlines Arena"
"NBA","PHI","Philadelphia 76ers","CoreStates Center"
"NBA","ATL","Atlanta Hawks","Georgia Dome"
"NBA","GSW","Golden State Warriors","The Arena in Oakland"
"NBA","WAS","Washington Wizards","MCI Center"
"NBA","HOU","Houston Rockets","Compaq Center"
"NBA","PHI","Philadelphia 76ers","First Union Center"
"NBA","ATL","Atlanta Hawks","Philips Arena"
"NBA","DEN","Denver Nuggets","Pepsi Center"
"NBA","IND","Indiana Pacers","Conseco Fieldhouse"
"NBA","LAC","Los Angeles Clippers","Staples Center"
"NBA","LAL","Los Angeles Lakers","Staples Center"
"NBA","MIA","Miami Heat","AmericanAirlines Arena"
"NBA","ORL","Orlando Magic","TD Waterhouse Centre"
"NBA","TOR","Toronto Raptors","Air Canada Centre"
"NBA","DAL","Dallas Mavericks","American Airlines Center"
"NBA","MEM","Memphis Grizzlies","Pyramid Arena"
"NBA","NOH","New Orleans Hornets","New Orleans Arena"
"NBA","SAS","San Antonio Spurs","SBC Center"
"NBA","HOU","Houston Rockets","Toyota Center"
"NBA","PHI","Philadelphia 76ers","Wachovia Center"
"NBA","CHA","Charlotte Bobcats","Charlotte Coliseum"
"NBA","GSW","Golden State Warriors","Oakland Arena"
"NBA","MEM","Memphis Grizzlies","FedExForum"
"NBA","BOS","Boston Celtics","TD Banknorth Garden"
"NBA","CHA","Charlotte Bobcats","Charlotte Bobcats Arena"
"NBA","NOK","NO/Oklahoma City Hornets","Ford Center"
"NBA","CLE","Cleveland Cavaliers","Quicken Loans Arena"
"NBA","GSW","Golden State Warriors","Oracle Arena"
"NBA","ORL","Orlando Magic","Amway Arena"
"NBA","PHO","Phoenix Suns","US Airways Center"
"NBA","SAS","San Antonio Spurs","AT&T Center"
"NBA","UTA","Utah Jazz","EnergySolutions Arena"
"NBA","WAS","Washington Wizards","Verizon Center"
"NBA","NJN","New Jersey Nets","Izod Center"
