"tmID","year","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"MNL","1951","21","5","13","19","6","2","40","26","66"
"NYK","1951","21","4","12","22","4","3","37","29","66"
"PHW","1951","24","7","6","25","3","1","33","33","66"
"ROC","1951","28","5","12","18","1","2","41","25","66"
"SYR","1951","26","7","12","18","2","1","40","26","66"
"BLB","1952","11","20","1","19","4","15","16","54","70"
"BOS","1952","21","3","11","18","14","4","46","25","71"
"FTW","1952","25","9","8","19","3","5","36","33","69"
"INO","1952","19","14","4","23","5","6","28","43","71"
"MLH","1952","14","8","4","24","9","12","27","44","71"
"MNL","1952","24","2","16","15","8","5","48","22","70"
"NYK","1952","21","4","15","14","11","5","47","23","70"
"PHW","1952","4","13","1","28","7","16","12","57","69"
"ROC","1952","24","8","13","16","7","2","44","26","70"
"SYR","1952","32","2","10","19","5","3","47","24","71"
"BLB","1953","12","20","0","20","4","16","16","56","72"
"BOS","1953","16","6","11","19","15","5","42","30","72"
"FTW","1953","19","8","11","17","10","7","40","32","72"
"MLH","1953","10","14","6","17","5","20","21","51","72"
"MNL","1953","21","4","13","15","12","7","46","26","72"
"NYK","1953","18","8","15","13","11","7","44","28","72"
"PHW","1953","10","9","6","16","13","18","29","43","72"
"ROC","1953","18","10","12","15","14","3","44","28","72"
"SYR","1953","27","5","10","19","5","6","42","30","72"
"BLB","1954","2","4","1","4","0","3","3","11","14"
"BOS","1954","20","5","5","22","11","9","36","36","72"
"FTW","1954","20","6","9","14","14","9","43","29","72"
"MLH","1954","6","11","9","16","11","19","26","46","72"
"MNL","1954","18","6","10","14","12","12","40","32","72"
"NYK","1954","17","8","8","19","13","7","38","34","72"
"PHW","1954","16","5","4","19","13","15","33","39","72"
"ROC","1954","17","11","4","19","8","13","29","43","72"
"SYR","1954","25","7","10","16","8","6","43","29","72"
"BOS","1955","20","7","12","15","7","11","39","33","72"
"FTW","1955","19","8","10","17","8","10","37","35","72"
"MNL","1955","13","12","6","21","14","6","33","39","72"
"NYK","1955","14","14","15","14","6","9","35","37","72"
"PHW","1955","21","7","11","17","13","3","45","27","72"
"ROC","1955","15","14","7","21","9","6","31","41","72"
"STL","1955","16","10","10","17","7","12","33","39","72"
"SYR","1955","23","8","9","19","3","10","35","37","72"
"BOS","1956","27","4","12","19","5","5","44","28","72"
"FTW","1956","23","8","7","24","4","6","34","38","72"
"MNL","1956","18","13","9","22","7","3","34","38","72"
"NYK","1956","19","12","11","20","6","4","36","36","72"
"PHW","1956","26","5","5","26","6","4","37","35","72"
"ROC","1956","19","12","9","22","3","7","31","41","72"
"STL","1956","18","13","11","20","5","5","34","38","72"
"SYR","1956","22","9","12","19","4","6","38","34","72"
"BOS","1957","25","4","17","13","7","6","49","23","72"
"CIN","1957","17","12","10","19","6","8","33","39","72"
"DET","1957","14","14","13","18","6","7","33","39","72"
"MNL","1957","13","17","4","22","2","14","19","53","72"
"NYK","1957","16","13","11","19","8","5","35","37","72"
"PHW","1957","16","12","12","19","9","4","37","35","72"
"STL","1957","23","8","9","19","9","4","41","31","72"
"SYR","1957","26","5","9","21","6","5","41","31","72"
"BOS","1958","26","4","13","15","13","1","52","20","72"
"CIN","1958","9","19","2","25","8","9","19","53","72"
"DET","1958","13","17","8","20","7","7","28","44","72"
"MNL","1958","15","7","9","17","9","15","33","39","72"
"NYK","1958","21","9","15","15","4","8","40","32","72"
"PHW","1958","17","9","7","24","8","7","32","40","72"
"STL","1958","28","3","14","15","7","5","49","23","72"
"SYR","1958","19","12","12","17","4","8","35","37","72"
"BOS","1959","25","2","23","9","11","5","59","16","75"
"CIN","1959","9","22","2","20","8","14","19","56","75"
"DET","1959","17","14","6","21","7","10","30","45","75"
"MNL","1959","9","13","9","22","7","15","25","50","75"
"NYK","1959","13","18","9","19","5","11","27","48","75"
"PHW","1959","22","6","12","19","15","1","49","26","75"
"STL","1959","28","5","12","20","6","4","46","29","75"
"SYR","1959","26","4","11","19","8","7","45","30","75"
"BOS","1960","21","7","24","11","12","4","57","22","79"
"CIN","1960","18","13","8","19","7","14","33","46","79"
"DET","1960","20","11","3","19","11","15","34","45","79"
"LAL","1960","16","12","8","20","12","11","36","43","79"
"NYK","1960","10","22","7","25","4","11","21","58","79"
"PHW","1960","23","6","12","21","11","6","46","33","79"
"STL","1960","29","5","15","20","7","3","51","28","79"
"SYR","1960","19","9","8","21","11","11","38","41","79"
"BOS","1961","23","5","26","12","11","3","60","20","80"
"CHP","1961","9","19","3","20","6","23","18","62","80"
"CIN","1961","18","13","14","16","11","8","43","37","80"
"DET","1961","16","14","8","17","13","12","37","43","80"
"LAL","1961","26","5","18","13","10","8","54","26","80"
"NYK","1961","19","14","2","23","8","14","29","51","80"
"PHW","1961","18","11","18","19","13","1","49","31","80"
"STL","1961","19","16","7","27","3","8","29","51","80"
"SYR","1961","18","10","11","19","12","10","41","39","80"
"BOS","1962","25","5","21","16","12","1","58","22","80"
"CHZ","1962","17","17","3","23","5","15","25","55","80"
"CIN","1962","23","10","15","19","4","9","42","38","80"
"DET","1962","14","16","8","19","12","11","34","46","80"
"LAL","1962","27","7","20","17","6","3","53","27","80"
"NYK","1962","12","22","5","28","4","9","21","59","80"
"SFW","1962","13","20","11","25","7","4","31","49","80"
"STL","1962","30","7","13","18","5","7","48","32","80"
"SYR","1962","23","5","13","19","12","8","48","32","80"
"BAL","1963","20","19","8","21","3","9","31","49","80"
"BOS","1963","26","4","21","17","12","0","59","21","80"
"CIN","1963","26","7","18","18","11","0","55","25","80"
"DET","1963","9","21","6","25","8","11","23","57","80"
"LAL","1963","24","12","15","21","3","5","42","38","80"
"NYK","1963","10","25","8","27","4","6","22","58","80"
"PHI","1963","18","12","12","22","4","12","34","46","80"
"SFW","1963","25","14","21","15","2","3","48","32","80"
"STL","1963","27","12","17","19","2","3","46","34","80"
"BAL","1964","23","14","12","19","2","10","37","43","80"
"BOS","1964","27","3","27","11","8","4","62","18","80"
"CIN","1964","25","7","17","21","6","4","48","32","80"
"DET","1964","13","17","11","20","7","12","31","49","80"
"LAL","1964","25","13","21","16","3","2","49","31","80"
"NYK","1964","16","19","8","22","7","8","31","49","80"
"PHI","1964","13","12","9","21","18","7","40","40","80"
"SFW","1964","10","26","5","31","2","6","17","63","80"
"STL","1964","26","14","15","17","4","4","45","35","80"
"BAL","1965","29","9","4","25","5","8","38","42","80"
"BOS","1965","26","5","19","18","9","3","54","26","80"
"CIN","1965","25","6","11","23","9","6","45","35","80"
"DET","1965","13","17","4","22","5","19","22","58","80"
"LAL","1965","28","11","13","21","4","3","45","35","80"
"NYK","1965","20","14","4","30","6","6","30","50","80"
"PHI","1965","22","3","20","17","13","5","55","25","80"
"SFW","1965","12","14","8","19","15","12","35","45","80"
"STL","1965","22","10","6","22","8","12","36","44","80"
"BAL","1966","12","20","3","30","5","11","20","61","81"
"BOS","1966","27","4","25","11","8","6","60","21","81"
"CHI","1966","17","19","9","17","7","12","33","48","81"
"CIN","1966","20","11","12","24","7","7","39","42","81"
"DET","1966","12","18","9","19","9","14","30","51","81"
"LAL","1966","21","18","12","20","3","7","36","45","81"
"NYK","1966","20","15","9","24","7","6","36","45","81"
"PHI","1966","28","2","26","8","14","3","68","13","81"
"SFW","1966","18","10","11","19","15","8","44","37","81"
"STL","1966","18","11","12","21","9","10","39","42","81"
"ANA","1967","12","19","7","27","6","7","25","53","78"
"DLC","1967","29","10","17","20","0","2","46","32","78"
"DNR","1967","31","8","13","22","1","3","45","33","78"
"HSM","1967","23","16","6","32","0","1","29","49","78"
"INA","1967","24","8","10","26","4","6","38","40","78"
"KEN","1967","25","14","10","26","1","2","36","42","78"
"MNM","1967","32","7","15","21","3","0","50","28","78"
"NJA","1967","26","13","9","26","1","3","36","42","78"
